month,industry_large,industry_mid,region_sido,region_sigungu,corp_grade,export_amt,import_amt,company_id,net_exposure
,건설업,전문직별 공사업,대구광역시,북구,우수,0.0,0.04,co_159bbedaf1,-0.04
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.01,co_39aea943e6,-0.01
,건설업,전문직별 공사업,경상남도,함안군,우수,0.0,0.01,co_1bae134669,-0.01
,건설업,전문직별 공사업,경상북도,구미시,최우수,0.33,0.0,co_f999b11ebe,0.33
,건설업,전문직별 공사업,경상북도,구미시,일반,0.0,0.02,co_6d9fe1822d,-0.02
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.39,0.0,co_a8f8c012d3,0.39
,건설업,전문직별 공사업,경상북도,경산시,우수,0.0,0.01,co_cc667d1861,-0.01
,건설업,전문직별 공사업,대구광역시,중구,최우수,0.0,0.04,co_868612829c,-0.04
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.35,co_a8f8c012d3,-0.35
,건설업,종합 건설업,경상북도,경주시,최우수,0.0,0.02,co_1040e34f2e,-0.02
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.04,co_56de6f81fb,-0.04
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.07,co_39aea943e6,-0.07
,건설업,전문직별 공사업,경상남도,함안군,우수,0.0,0.01,co_1bae134669,-0.01
,건설업,전문직별 공사업,경상북도,구미시,일반,0.0,0.02,co_6d9fe1822d,-0.02
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.31,0.0,co_a8f8c012d3,0.31
,건설업,전문직별 공사업,경상북도,경산시,최우수,0.0,0.02,co_e046fbef20,-0.02
,건설업,전문직별 공사업,경상북도,포항시 남구,최우수,0.0,0.06,co_4b719ad783,-0.06
,건설업,전문직별 공사업,대구광역시,중구,최우수,0.0,0.04,co_868612829c,-0.04
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.25,co_a8f8c012d3,-0.25
,건설업,전문직별 공사업,서울특별시,송파구,우수,0.0,0.03,co_456be85fe8,-0.03
,건설업,전문직별 공사업,대구광역시,수성구,최우수,0.0,0.02,co_9afcc089fa,-0.02
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.06,co_39aea943e6,-0.06
,건설업,전문직별 공사업,경상남도,함안군,우수,0.0,0.03,co_1bae134669,-0.03
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.31,0.0,co_a8f8c012d3,0.31
,건설업,전문직별 공사업,대구광역시,수성구,우수,0.0,0.01,co_2c729adb5c,-0.01
,건설업,전문직별 공사업,대구광역시,중구,우수,0.0,0.06,co_6ee010670a,-0.06
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.1,co_a8f8c012d3,-0.1
,건설업,전문직별 공사업,서울특별시,송파구,우수,0.0,0.04,co_456be85fe8,-0.04
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.04,co_56de6f81fb,-0.04
,건설업,전문직별 공사업,대구광역시,수성구,최우수,0.0,0.01,co_9afcc089fa,-0.01
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.02,co_39aea943e6,-0.02
,건설업,전문직별 공사업,경상남도,함안군,우수,0.0,0.02,co_1bae134669,-0.02
,건설업,전문직별 공사업,경상북도,구미시,최우수,1.2,0.0,co_f999b11ebe,1.2
,건설업,전문직별 공사업,경상북도,구미시,우수,0.0,0.03,co_95e30c5241,-0.03
,건설업,전문직별 공사업,경기도,평택시,최우수,0.0,0.05,co_6f056bab36,-0.05
